content,vader_text,clean_text,vader_score,sentiment
"RE: FB Vanity URLs: SF Chronicle - ""David Beckham was one of the first, along with Britney Spears & Donald Trump."" http://tinyurl.com/ln4lol","RE: FB Vanity URLs: SF Chronicle - ""David Beckham was one of the first, along with Britney Spears & Donald Trump.""",re fb vanity urls sf chronicle david beckham was one of the first along with britney spears donald trump,-0.2263,negative
Donald Trump backs 'Apprentice' Randal Pinkett for N.J. Lieutenant Governor: http://tinyurl.com/mvovzb,Donald Trump backs 'Apprentice' Randal Pinkett for N.J. Lieutenant Governor:,donald trump backs apprentice randal pinkett for n j lieutenant governor,-0.0516,negative
"Watch the Miss Universe competition LIVE from the Bahamas - Sunday, 8/23 @9pm (ET) on NBC: http://tinyurl.com/mrzad9","Watch the Miss Universe competition LIVE from the Bahamas - Sunday, 8/23 (ET) on NBC:",watch the miss universe competition live from the bahamas sunday et on nbc,-0.1531,negative
Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight @9pm (EST) on NBC: http://tinyurl.com/mrzad9,Reminder: The Miss Universe competition will be LIVE from the Bahamas - Tonight (EST) on NBC:,reminder the miss universe competition will be live from the bahamas tonight est on nbc,-0.1531,negative
"- More hysterical DSRL videos featuring Donald Trump and ""Double Trump"" plus enter Golden Lick Race Sweepstakes: http://tinyurl.com/6asujj","- More hysterical DSRL videos featuring Donald Trump and ""Double Trump"" plus enter Golden Lick Race Sweepstakes:",more hysterical dsrl videos featuring donald trump and double trump plus enter golden lick race sweepstakes,-0.101,negative
"Looking forward to the 2010 Miss USA Pageant, Sunday May 16 on NBC, 7 p.m. ET, hosted by Curtis Stone and Natalie Morales.","Looking forward to the 2010 Miss USA Pageant, Sunday May 16 on NBC, 7 p.m. ET, hosted by Curtis Stone and Natalie Morales.",looking forward to the miss usa pageant sunday may on nbc p m et hosted by curtis stone and natalie morales,-0.1531,negative
"Looking forward to the 2010 Miss USA Pageant, Sunday May 16 on NBC, 7 p.m. ET, hosted by Curtis Stone & Natalie Morales live from Las Vegas.","Looking forward to the 2010 Miss USA Pageant, Sunday May 16 on NBC, 7 p.m. ET, hosted by Curtis Stone & Natalie Morales live from Las Vegas.",looking forward to the miss usa pageant sunday may on nbc p m et hosted by curtis stone natalie morales live from las vegas,-0.1531,negative
"The Miss Universe Pageant will be on August 23 (9-11 p.m. on NBC, ET) with Bret Michaels and Natalie Morales to co-host, live from Las Vegas","The Miss Universe Pageant will be on August 23 (9-11 p.m. on NBC, ET) with Bret Michaels and Natalie Morales to co-host, live from Las Vegas",the miss universe pageant will be on august p m on nbc et with bret michaels and natalie morales to co host live from las vegas,-0.1531,negative
"Performing live on the Miss Universe Pageant from the Mandalay Bay Resort & Casino will be Telemundo, Orianthi, John Legend and The Roots.","Performing live on the Miss Universe Pageant from the Mandalay Bay Resort & Casino will be Telemundo, Orianthi, John Legend and The Roots.",performing live on the miss universe pageant from the mandalay bay resort casino will be telemundo orianthi john legend and the roots,-0.1531,negative
It's going to get hotter in Las Vegas tonight! Watch the Miss Universe Pageant tonight on NBC at 9 p.m. I'm looking forward to being there!,It's going to get hotter in Las Vegas tonight! Watch the Miss Universe Pageant tonight on NBC at 9 p.m. I'm looking forward to being there!,it s going to get hotter in las vegas tonight watch the miss universe pageant tonight on nbc at p m i m looking forward to being there,-0.2924,negative
