class,rank,feature,mean_abs_shap,mean_signed_shap
negative,1,great,0.175641176568664,0.004299164824146344
negative,2,thanks,0.06968622454591289,-0.013737831181422664
negative,3,trump,0.06303980440796732,-0.0014918264851123372
negative,4,realdonaldtrump,0.057643902576257434,0.002052296341545561
negative,5,bad,0.05509551328509946,0.013315859276932898
negative,6,com,0.04803193396568724,-0.002243337596512349
negative,7,twitter com,0.0339938521387864,-0.0028354679848201173
negative,8,best,0.030607945839504845,0.0021247855014709443
negative,9,fake,0.02982068046816768,0.008407269114882316
negative,10,attack,0.026030811802612467,-0.00968877821762636
negative,11,wonderful,0.02427202013221167,0.01753028102617763
negative,12,illegal,0.021846807509311242,-0.004601475865845196
negative,13,sad,0.020771467777951174,-1.3870239179368549e-05
negative,14,amazing,0.019548642794029812,0.007399452077515437
negative,15,problem,0.019457746989429838,-0.0036292843646548154
neutral,1,great,0.2950829448484227,0.007222738092977689
neutral,2,thank,0.28142388847211863,-0.014488135460887659
neutral,3,thanks,0.11736977485773838,-0.02313809025103441
neutral,4,like,0.08380241183501948,0.011219773736119282
neutral,5,com,0.05939382430333959,0.0027739961325629753
neutral,6,best,0.054590606685187205,0.003789647636250969
neutral,7,love,0.05438213653583054,-0.012174301931514822
neutral,8,good,0.05287934166260408,-0.023250454464164957
neutral,9,realdonaldtrump,0.05032109904508882,-0.001791582506686901
neutral,10,trump,0.04927240694889926,0.0011660233143475432
neutral,11,win,0.047394024761867444,0.006325288568685824
neutral,12,twitter com,0.04400152028700249,0.003670219589937288
neutral,13,nice,0.04042532787656405,0.02049927578865229
neutral,14,amazing,0.040164229642433824,0.01520275835007205
neutral,15,wonderful,0.03677036049226015,0.026557111824728055
positive,1,great,0.4707241214170611,-0.011521902917123971
positive,2,thank,0.29859723300488794,0.015372245702054992
positive,3,thanks,0.1870559994036508,0.03687592143245735
positive,4,best,0.085198552524694,-0.0059144331377217725
positive,5,like,0.07514543425348875,-0.010060745880279049
positive,6,love,0.06750011449276022,0.01511096890621949
positive,7,wonderful,0.06104238062447104,-0.04408739285090467
positive,8,amazing,0.05971287243646408,-0.022602210427588264
positive,9,win,0.05436239526364639,-0.007255299355884055
positive,10,nice,0.05347597610873241,-0.0271171277983824
positive,11,good,0.04946797724053377,0.02175051572320776
positive,12,enjoy,0.04149753576497958,-0.01565753126354219
positive,13,true,0.03983261766618814,0.012862615588651698
positive,14,yes,0.03885756320424709,-0.017984496511494783
positive,15,better,0.038798718498474494,-0.0002821116549508069
